2001,990,2293,1044,936,2167,
2020,1032,2294,1070,878,2153,
2015,1062,2297,1075,846,2123,
1977,1082,2300,1053,821,2024,
1899,1096,2301,1023,811,1903,
1808,1090,2306,1002,813,1823,
1727,1077,2307,964,835,1765,
1672,1060,2307,928,841,1737,
1661,1056,2307,907,849,1723,
1642,1061,2306,873,853,1715,
1637,1065,2307,787,852,1685,
1596,1067,2308,778,856,1646,
1590,1069,2310,795,844,1599,
1506,1053,2310,809,849,1545,
1461,1044,2310,803,865,1496,
1405,1027,2313,788,897,1545,
1347,994,2313,775,940,1442,
1347,973,2312,770,958,1475,
1354,944,2309,749,993,1531,
1380,926,2308,761,1032,1612,
1394,907,2308,762,1061,1702,
1431,894,2306,765,1085,1777,
1475,882,2304,778,1113,1886,
1523,881,2300,829,1122,2007,
1586,886,2297,837,1135,2091,
1654,889,2296,847,1116,2120,
1726,892,2294,881,1087,2152,
1816,915,2294,910,1060,2165,
1916,930,2290,957,1010,2161,
1999,968,2293,993,954,2168,
2016,1016,2294,1014,902,2157,
2024,1050,2296,1041,859,2132,
1994,1084,2295,1034,824,2076,
1921,1098,2303,1027,812,1936,
1845,1094,2303,1014,816,1844,
1752,1076,2306,993,829,1782,
1689,1065,2307,953,842,1741,
1654,1062,2307,916,846,1723,
1639,1066,2308,907,853,1712,
1638,1065,2307,890,855,1689,
1616,1065,2307,882,846,1663,
1586,1065,2308,874,839,1612,
1537,1058,2310,863,849,1559,
1484,1048,2313,838,862,1512,
1420,1031,2315,799,887,1471,
1359,1006,2311,789,926,1444,
1345,962,2314,766,949,1461,
1351,966,2308,760,972,1509,
1372,936,2308,722,1017,1584,
1393,914,2307,750,1044,1674,
1420,899,2306,761,1083,1753,
1457,887,2302,782,1101,1843,
1514,878,2300,812,1106,1961,
1564,885,2298,836,1129,2062,
1630,889,2298,862,1123,1638,
1706,891,2297,884,1098,2149,
1783,902,2294,933,1079,2162,
1883,931,2292,968,1008,2164,
1981,958,2291,1011,985,2169,
2017,926,2293,1057,915,2164,
2025,1036,2294,1075,866,2148,
2001,1070,2296,1082,836,2103,
1947,1096,2299,1083,812,1974,
1869,1102,2302,1061,807,1869,
1781,1088,2308,1030,817,1801,
1704,1040,2307,995,837,1754,
1673,1060,2307,976,853,1723,
1639,1043,2290,955,849,1716,
1635,1063,2304,932,858,1696,
1607,1068,2282,932,844,1668,
